$GPRMC,230341.322,A,3541.2544,N,13949.7173,E,1.11,241.03,220810,,,A*66
$GPRMC,230344.397,A,3541.2534,N,13949.7302,E,0.88,290.73,220810,,,A*64
$GPRMC,230348.511,A,3541.2551,N,13949.7149,E,2.06,264.58,220810,,,A*68
$GPRMC,230350.900,A,3541.2597,N,13949.6921,E,0.00,,220810,,,A*77
$GPRMC,230353.740,A,3541.2567,N,13949.7114,E,2.25,270.41,220810,,,A*65
$GPRMC,230356.548,A,3541.2585,N,13949.6954,E,0.00,,220810,,,A*70
$GPRMC,230359.590,A,3541.2561,N,13949.6917,E,1.75,280.19,220810,,,A*68
$GPRMC,230402.147,A,3541.2600,N,13949.6828,E,0.00,,220810,,,A*79
$GPRMC,230405.094,A,3541.2626,N,13949.6856,E,0.84,272.95,220810,,,A*65
$GPRMC,230408.162,A,3541.2618,N,13949.6985,E,1.12,5.30,220810,,,A*61
$GPRMC,230411.579,A,3541.2490,N,13949.6925,E,1.52,282.01,220810,,,A*64
$GPRMC,230416.647,A,3541.2635,N,13949.6911,E,2.00,312.80,220810,,,A*62
$GPRMC,230421.023,A,3541.2632,N,13949.6892,E,2.20,291.08,220810,,,A*67
$GPRMC,230423.418,A,3541.2690,N,13949.6820,E,0.00,,220810,,,A*74
$GPRMC,230426.454,A,3541.2605,N,13949.6519,E,3.09,278.19,220810,,,A*63
$GPRMC,230430.565,A,3541.2615,N,13949.6835,E,2.05,278.45,220810,,,A*61
$GPRMC,230433.528,A,3541.2583,N,13949.6878,E,1.51,288.11,220810,,,A*62
$GPRMC,230438.641,A,3541.2641,N,13949.6850,E,2.10,287.95,220810,,,A*67
$GPRMC,230449.620,A,3541.2872,N,13949.6793,E,2.46,320.97,220810,,,A*65
$GPRMC,230502.843,A,3541.2948,N,13949.6955,E,3.32,305.73,220810,,,A*63
$GPRMC,230517.114,A,3541.3042,N,13949.6827,E,2.63,227.75,220810,,,A*68
$GPRMC,230530.292,A,3541.3343,N,13949.6882,E,1.88,294.57,220810,,,A*63
$GPRMC,230534.363,A,3541.3357,N,13949.6859,E,1.17,288.72,220810,,,A*67
$GPRMC,230539.414,A,3541.3468,N,13949.6890,E,1.84,340.79,220810,,,A*67
$GPRMC,230543.404,A,3541.3488,N,13949.6868,E,2.37,255.43,220810,,,A*65
$GPRMC,230547.469,A,3541.3465,N,13949.6728,E,2.16,233.69,220810,,,A*69
$GPRMC,230549.861,A,3541.3084,N,13949.6411,E,0.00,,220810,,,A*77
$GPRMC,230552.496,A,3541.3054,N,13949.6501,E,1.15,270.20,220810,,,A*68
$GPRMC,230555.877,A,3541.2892,N,13949.6508,E,1.70,258.26,220810,,,A*69
$GPRMC,230559.190,A,3541.3029,N,13949.6390,E,1.62,263.48,220810,,,A*68
$GPRMC,230601.996,A,3541.2973,N,13949.6499,E,0.00,,220810,,,A*71
$GPRMC,230605.035,A,3541.2946,N,13949.6399,E,0.70,291.41,220810,,,A*62
$GPRMC,230607.563,A,3541.3024,N,13949.6219,E,0.00,,220810,,,A*75

